request_id,response_time_hours,citizen_satisfaction,day_of_week,is_weekend,submit_month,submit_quarter,inherent_urgency,is_urgent,resolved_flag,citizen_previous_requests,citizen_satisfaction_history,citizen_account_age_days,citizen_engagement_score,dept_avg_response_time,dept_avg_resolution_rate,dept_avg_satisfaction,dept_avg_staff_count,dept_avg_budget_util,dept_avg_requests_received,dept_avg_overtime,district_avg_request_count,district_avg_response_time,district_avg_resolution_rate,district_total_critical,district_total_high,age_18-24,age_25-34,age_35-44,age_45-54,age_55-64,age_65+,contact_Email,contact_In Person,contact_Mobile App,contact_Phone,contact_SMS
REQ000001,97.9,2.6,0,0,2,1,0,0,1,2,3.7,504,1.48,48.61666666666667,0.8394166666666667,3.7175,36.583333333333336,0.8617499999999999,142.16666666666666,97.66666666666667,19.03472222222222,57.74791666666667,0.7821458333333333,761,2424,False,True,False,False,False,False,True,False,False,False,False
REQ000002,25.2,3.5,6,1,8,3,0,1,0,2,3.3,1401,1.3199999999999998,52.458333333333336,0.8288333333333333,3.856666666666667,41.75,0.8895833333333334,177.5,93.75,18.40277777777778,59.11006944444445,0.7860347222222223,726,2451,True,False,False,False,False,False,True,False,False,False,False
REQ000003,2.6,4.8,6,1,1,1,1,1,1,3,2.5,2750,1.5,43.28333333333333,0.8233333333333333,3.9741666666666666,40.25,0.85825,161.33333333333334,109.83333333333333,18.40277777777778,59.11006944444445,0.7860347222222223,726,2451,False,False,False,False,False,True,False,False,False,True,False
REQ000004,43.9,3.3,3,0,7,3,0,1,1,3,3.5,2569,2.1,55.775,0.7976666666666666,3.641666666666667,31.916666666666668,0.8698333333333333,170.91666666666666,82.91666666666667,17.75,60.46388888888888,0.7918819444444445,805,2475,False,False,True,False,False,False,True,False,False,False,False
REQ000005,26.7,3.9,1,0,5,2,0,1,1,2,4.4,3360,1.7600000000000002,55.775,0.7976666666666666,3.641666666666667,31.916666666666668,0.8698333333333333,170.91666666666666,82.91666666666667,17.86111111111111,61.1861111111111,0.7847048611111112,701,2550,False,False,False,True,False,False,True,False,False,False,False
REQ000006,324.7,2.6,1,0,10,4,0,0,0,1,2.7,2865,0.54,52.458333333333336,0.8288333333333333,3.856666666666667,41.75,0.8895833333333334,177.5,93.75,18.46875,57.74965277777778,0.7877847222222223,698,2441,False,True,False,False,False,False,False,False,False,False,True
REQ000007,228.1,3.3,6,1,8,3,0,0,1,1,4.5,1445,0.9,48.61666666666667,0.8394166666666667,3.7175,36.583333333333336,0.8617499999999999,142.16666666666666,97.66666666666667,17.86111111111111,61.1861111111111,0.7847048611111112,701,2550,True,False,False,False,False,False,False,False,True,False,False
REQ000008,69.3,3.7,5,1,8,3,0,0,1,6,2.3,352,2.76,55.775,0.7976666666666666,3.641666666666667,31.916666666666668,0.8698333333333333,170.91666666666666,82.91666666666667,18.44097222222222,57.67986111111111,0.7782361111111111,724,2454,False,True,False,False,False,False,False,False,False,False,True
REQ000009,11.1,1.5,2,0,8,3,0,1,1,2,3.6,2096,1.44,47.333333333333336,0.8491666666666666,3.7375000000000003,38.166666666666664,0.8685833333333334,170.16666666666666,109.33333333333333,18.44097222222222,57.67986111111111,0.7782361111111111,724,2454,False,False,False,True,False,False,False,False,True,False,False
REQ000010,101.3,3.1,4,0,1,1,0,0,1,2,2.2,3081,0.8800000000000001,53.416666666666664,0.7839166666666667,3.605,42.583333333333336,0.8833333333333333,139.58333333333334,115.0,18.34375,60.45659722222222,0.7863645833333334,728,2486,False,True,False,False,False,False,False,False,False,False,True
REQ000011,90.2,3.1,5,1,2,1,0,0,1,3,2.7,1049,1.6200000000000003,44.550000000000004,0.8158333333333333,3.9166666666666665,36.083333333333336,0.9034166666666666,148.5,114.33333333333333,18.44097222222222,57.67986111111111,0.7782361111111111,724,2454,False,False,False,False,False,True,False,True,False,False,False
REQ000012,297.7,3.3,5,1,7,3,0,0,1,1,3.0,1444,0.6,43.28333333333333,0.8233333333333333,3.9741666666666666,40.25,0.85825,161.33333333333334,109.83333333333333,19.03472222222222,57.74791666666667,0.7821458333333333,761,2424,False,False,True,False,False,False,False,False,False,True,False
REQ000013,205.2,3.8,4,0,4,2,0,0,1,6,3.7,1934,4.44,48.61666666666667,0.8394166666666667,3.7175,36.583333333333336,0.8617499999999999,142.16666666666666,97.66666666666667,17.75,60.46388888888888,0.7918819444444445,805,2475,True,False,False,False,False,False,False,False,False,False,True
REQ000014,188.6,3.5,0,0,3,1,0,0,1,1,4.1,3196,0.82,43.28333333333333,0.8233333333333333,3.9741666666666666,40.25,0.85825,161.33333333333334,109.83333333333333,19.03472222222222,57.74791666666667,0.7821458333333333,761,2424,True,False,False,False,False,False,False,False,True,False,False
REQ000015,133.5,4.8,3,0,7,3,0,0,1,8,4.4,537,7.040000000000001,55.775,0.7976666666666666,3.641666666666667,31.916666666666668,0.8698333333333333,170.91666666666666,82.91666666666667,19.03472222222222,57.74791666666667,0.7821458333333333,761,2424,False,False,True,False,False,False,True,False,False,False,False
REQ000016,17.4,4.3,6,1,5,2,0,1,0,6,4.8,912,5.76,53.416666666666664,0.7839166666666667,3.605,42.583333333333336,0.8833333333333333,139.58333333333334,115.0,18.40277777777778,59.11006944444445,0.7860347222222223,726,2451,False,False,False,False,True,False,False,False,True,False,False
REQ000017,27.6,4.4,2,0,12,4,0,1,1,2,3.1,3326,1.24,52.458333333333336,0.8288333333333333,3.856666666666667,41.75,0.8895833333333334,177.5,93.75,18.46875,57.74965277777778,0.7877847222222223,698,2441,False,True,False,False,False,False,True,False,False,False,False
REQ000018,226.7,3.9,6,1,4,2,0,0,1,3,3.5,2753,2.1,50.59166666666667,0.8295833333333333,3.6783333333333332,33.5,0.8564166666666666,188.08333333333334,82.5,19.03472222222222,57.74791666666667,0.7821458333333333,761,2424,False,False,False,False,True,False,True,False,False,False,False
REQ000019,274.0,3.2,1,0,1,1,0,0,0,6,2.3,3376,2.76,47.333333333333336,0.8491666666666666,3.7375000000000003,38.166666666666664,0.8685833333333334,170.16666666666666,109.33333333333333,18.319444444444443,61.37048611111111,0.7842951388888889,717,2472,False,False,True,False,False,False,False,False,True,False,False
REQ000020,5.0,3.6,3,0,2,1,0,1,1,5,3.5,1420,3.5,47.333333333333336,0.8491666666666666,3.7375000000000003,38.166666666666664,0.8685833333333334,170.16666666666666,109.33333333333333,19.03472222222222,57.74791666666667,0.7821458333333333,761,2424,False,False,False,True,False,False,True,False,False,False,False
REQ000021,375.7,1.6,4,0,1,1,0,0,1,1,2.5,1919,0.5,43.28333333333333,0.8233333333333333,3.9741666666666666,40.25,0.85825,161.33333333333334,109.83333333333333,18.40277777777778,59.11006944444445,0.7860347222222223,726,2451,True,False,False,False,False,False,False,False,False,False,True
REQ000022,63.7,3.9,5,1,9,3,0,0,0,5,3.9,2699,3.9,53.416666666666664,0.7839166666666667,3.605,42.583333333333336,0.8833333333333333,139.58333333333334,115.0,18.40277777777778,59.11006944444445,0.7860347222222223,726,2451,False,False,True,False,False,False,True,False,False,False,False
REQ000023,222.0,4.4,1,0,1,1,0,0,1,2,2.7,1921,1.08,44.550000000000004,0.8158333333333333,3.9166666666666665,36.083333333333336,0.9034166666666666,148.5,114.33333333333333,18.010416666666668,59.470486111111114,0.7770763888888889,757,2358,False,True,False,False,False,False,False,False,False,False,True
REQ000024,4.1,4.7,4,0,4,2,1,1,1,3,3.1,2513,1.86,43.28333333333333,0.8233333333333333,3.9741666666666666,40.25,0.85825,161.33333333333334,109.83333333333333,18.40277777777778,59.11006944444445,0.7860347222222223,726,2451,True,False,False,False,False,False,True,False,False,False,False
REQ000025,19.2,4.9,2,0,12,4,1,1,1,1,3.6,2121,0.72,43.28333333333333,0.8233333333333333,3.9741666666666666,40.25,0.85825,161.33333333333334,109.83333333333333,19.03472222222222,57.74791666666667,0.7821458333333333,761,2424,False,True,False,False,False,False,True,False,False,False,False
REQ000026,85.1,2.8,5,1,3,1,0,0,0,2,3.7,345,1.48,52.458333333333336,0.8288333333333333,3.856666666666667,41.75,0.8895833333333334,177.5,93.75,17.86111111111111,61.1861111111111,0.7847048611111112,701,2550,False,False,False,False,True,False,False,False,False,True,False
